step=0 {'loss': 3.082078695297241, 'L_flow': 2.8662843704223633, 'L_var': 0.4315885901451111, 'L_cov': 1.6447288990020752, 'L_slot': 0.03758491203188896, 'grad_norm': 1.5843576192855835, 'grad_skipped': 0.0, 'ema_m': 0.996, 'lr_mult': 0.0006666666666666666, 'c_std_mean': 0.4952510595321655, 'c_std_median': 0.4845834970474243, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.7238704562187195, 'c_effective_rank': 9.472790718078613, 'c_slot_diversity_rank': 16.711070120334625, 'coarse_model_loss': 3.3105926513671875, 'coarse_copy_loss': 0.0533393919467926, 'coarse_batch_mean_loss': 0.26272302865982056, 'coarse_vs_copy_ratio': 62.06656265258789, 'coarse_vs_batch_mean_ratio': 12.601075172424316, 'grad_global_norm': 0.4999996988555838, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.9999483823776245, 'c_attn_entropy_min': 0.9998237490653992}
step=50 {'loss': 3.5247907638549805, 'L_flow': 3.3741135597229004, 'L_var': 0.301354318857193, 'L_cov': 3.512899875640869, 'L_slot': 0.03820856660604477, 'grad_norm': 1.7133455276489258, 'grad_skipped': 0.0, 'ema_m': 0.996000002182055, 'lr_mult': 0.034}
step=100 {'loss': 2.867135524749756, 'L_flow': 2.831292152404785, 'L_var': 0.0716867595911026, 'L_cov': 13.57358455657959, 'L_slot': 0.037937238812446594, 'grad_norm': 0.6338791847229004, 'grad_skipped': 0.0, 'ema_m': 0.996000008728215, 'lr_mult': 0.06733333333333333}
step=150 {'loss': 2.2481517791748047, 'L_flow': 2.199645757675171, 'L_var': 0.09701225161552429, 'L_cov': 10.966167449951172, 'L_slot': 0.037204138934612274, 'grad_norm': 1.3869760036468506, 'grad_skipped': 0.0, 'ema_m': 0.9960000196384656, 'lr_mult': 0.10066666666666667}
step=200 {'loss': 1.7700798511505127, 'L_flow': 1.7524304389953613, 'L_var': 0.03529881685972214, 'L_cov': 17.514862060546875, 'L_slot': 0.03432208299636841, 'grad_norm': 0.5876405239105225, 'grad_skipped': 0.0, 'ema_m': 0.9960000349127821, 'lr_mult': 0.134}
step=250 {'loss': 1.9365593194961548, 'L_flow': 1.9078025817871094, 'L_var': 0.057513393461704254, 'L_cov': 13.539046287536621, 'L_slot': 0.03147492557764053, 'grad_norm': 0.9000932574272156, 'grad_skipped': 0.0, 'ema_m': 0.9960000545511305, 'lr_mult': 0.16733333333333333}
step=300 {'loss': 1.871194839477539, 'L_flow': 1.8487707376480103, 'L_var': 0.04484812170267105, 'L_cov': 22.62912940979004, 'L_slot': 0.030731583014130592, 'grad_norm': 0.7736360430717468, 'grad_skipped': 0.0, 'ema_m': 0.9960000785534668, 'lr_mult': 0.20066666666666666}
step=350 {'loss': 1.6614075899124146, 'L_flow': 1.6340631246566772, 'L_var': 0.05468882620334625, 'L_cov': 17.547351837158203, 'L_slot': 0.030396679416298866, 'grad_norm': 1.4569783210754395, 'grad_skipped': 0.0, 'ema_m': 0.9960001069197373, 'lr_mult': 0.234}
step=400 {'loss': 1.5921032428741455, 'L_flow': 1.5716679096221924, 'L_var': 0.0408707857131958, 'L_cov': 12.807437896728516, 'L_slot': 0.028309578076004982, 'grad_norm': 1.3670740127563477, 'grad_skipped': 0.0, 'ema_m': 0.9960001396498784, 'lr_mult': 0.2673333333333333}
step=450 {'loss': 1.434852123260498, 'L_flow': 1.4152531623840332, 'L_var': 0.03919801115989685, 'L_cov': 13.026558876037598, 'L_slot': 0.027112439274787903, 'grad_norm': 1.2371928691864014, 'grad_skipped': 0.0, 'ema_m': 0.9960001767438169, 'lr_mult': 0.3006666666666667}
step=500 {'loss': 1.3910109996795654, 'L_flow': 1.3715652227401733, 'L_var': 0.03889166936278343, 'L_cov': 12.448541641235352, 'L_slot': 0.027548136189579964, 'grad_norm': 1.833526372909546, 'grad_skipped': 0.0, 'ema_m': 0.99600021820147, 'lr_mult': 0.334, 'c_std_mean': 0.8684130311012268, 'c_std_median': 0.8583610653877258, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.17726510763168335, 'c_effective_rank': 10.125259399414062, 'c_slot_diversity_rank': 19.700880467891693, 'coarse_model_loss': 1.2712913751602173, 'coarse_copy_loss': 0.26634711027145386, 'coarse_batch_mean_loss': 0.7348292469978333, 'coarse_vs_copy_ratio': 4.773062229156494, 'coarse_vs_batch_mean_ratio': 1.7300500869750977, 'grad_global_norm': 0.4999996881118443, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.9999567270278931, 'c_attn_entropy_min': 0.9998815655708313}
step=550 {'loss': 1.3672829866409302, 'L_flow': 1.3496347665786743, 'L_var': 0.03529652953147888, 'L_cov': 13.005372047424316, 'L_slot': 0.0246737040579319, 'grad_norm': 2.2297232151031494, 'grad_skipped': 0.0, 'ema_m': 0.9960002640227446, 'lr_mult': 0.36733333333333335}
step=600 {'loss': 1.329062819480896, 'L_flow': 1.3091988563537598, 'L_var': 0.03972801938652992, 'L_cov': 12.62923526763916, 'L_slot': 0.025967683643102646, 'grad_norm': 2.9745709896087646, 'grad_skipped': 0.0, 'ema_m': 0.9960003142075383, 'lr_mult': 0.40066666666666667}
step=650 {'loss': 1.3158683776855469, 'L_flow': 1.2926177978515625, 'L_var': 0.046501241624355316, 'L_cov': 14.79995346069336, 'L_slot': 0.024934349581599236, 'grad_norm': 2.4958338737487793, 'grad_skipped': 0.0, 'ema_m': 0.9960003687557388, 'lr_mult': 0.434}
step=700 {'loss': 1.2817376852035522, 'L_flow': 1.2613563537597656, 'L_var': 0.04076274111866951, 'L_cov': 13.451751708984375, 'L_slot': 0.02358587272465229, 'grad_norm': 2.599357843399048, 'grad_skipped': 0.0, 'ema_m': 0.9960004276672241, 'lr_mult': 0.4673333333333333}
step=750 {'loss': 1.246551275253296, 'L_flow': 1.226977825164795, 'L_var': 0.039146788418293, 'L_cov': 14.463257789611816, 'L_slot': 0.023174287751317024, 'grad_norm': 2.813828468322754, 'grad_skipped': 0.0, 'ema_m': 0.9960004909418622, 'lr_mult': 0.5006666666666667}
step=800 {'loss': 1.2286014556884766, 'L_flow': 1.2112454175949097, 'L_var': 0.03471207618713379, 'L_cov': 14.420458793640137, 'L_slot': 0.02297223173081875, 'grad_norm': 2.4854512214660645, 'grad_skipped': 0.0, 'ema_m': 0.9960005585795114, 'lr_mult': 0.534}
step=850 {'loss': 1.231042504310608, 'L_flow': 1.2123589515686035, 'L_var': 0.03736713528633118, 'L_cov': 15.276349067687988, 'L_slot': 0.02382924035191536, 'grad_norm': 2.968111515045166, 'grad_skipped': 0.0, 'ema_m': 0.9960006305800206, 'lr_mult': 0.5673333333333334}
step=900 {'loss': 1.1718605756759644, 'L_flow': 1.1546432971954346, 'L_var': 0.034434642642736435, 'L_cov': 19.0800838470459, 'L_slot': 0.023048069328069687, 'grad_norm': 1.8154758214950562, 'grad_skipped': 0.0, 'ema_m': 0.9960007069432285, 'lr_mult': 0.6006666666666667}
step=950 {'loss': 1.191061019897461, 'L_flow': 1.1739633083343506, 'L_var': 0.03419534116983414, 'L_cov': 20.437530517578125, 'L_slot': 0.023880450055003166, 'grad_norm': 3.3816418647766113, 'grad_skipped': 0.0, 'ema_m': 0.9960007876689643, 'lr_mult': 0.634}
step=1000 {'loss': 1.1538492441177368, 'L_flow': 1.1373076438903809, 'L_var': 0.033083245158195496, 'L_cov': 18.15321159362793, 'L_slot': 0.023151423782110214, 'grad_norm': 2.0960702896118164, 'grad_skipped': 0.0, 'ema_m': 0.9960008727570472, 'lr_mult': 0.6673333333333333, 'c_std_mean': 0.8508634567260742, 'c_std_median': 0.848249614238739, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.2361384928226471, 'c_effective_rank': 8.335813522338867, 'c_slot_diversity_rank': 20.51893901824951, 'coarse_model_loss': 1.1461594104766846, 'coarse_copy_loss': 0.24118201434612274, 'coarse_batch_mean_loss': 0.7954277992248535, 'coarse_vs_copy_ratio': 4.752259254455566, 'coarse_vs_batch_mean_ratio': 1.4409345388412476, 'grad_global_norm': 0.49999975753832465, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.999946653842926, 'c_attn_entropy_min': 0.9998314380645752}
step=1050 {'loss': 1.1831961870193481, 'L_flow': 1.167677640914917, 'L_var': 0.0310371033847332, 'L_cov': 16.93248176574707, 'L_slot': 0.023382462561130524, 'grad_norm': 2.9507319927215576, 'grad_skipped': 0.0, 'ema_m': 0.9960009622072868, 'lr_mult': 0.7006666666666667}
step=1100 {'loss': 1.1024036407470703, 'L_flow': 1.0876808166503906, 'L_var': 0.029445670545101166, 'L_cov': 20.880130767822266, 'L_slot': 0.024640509858727455, 'grad_norm': 1.8427618741989136, 'grad_skipped': 0.0, 'ema_m': 0.9960010560194831, 'lr_mult': 0.734}
step=1150 {'loss': 1.131868600845337, 'L_flow': 1.1133177280426025, 'L_var': 0.037101633846759796, 'L_cov': 18.037569046020508, 'L_slot': 0.023714575916528702, 'grad_norm': 3.1664226055145264, 'grad_skipped': 0.0, 'ema_m': 0.9960011541934258, 'lr_mult': 0.7673333333333333}
step=1200 {'loss': 1.0514659881591797, 'L_flow': 1.0362083911895752, 'L_var': 0.030515123158693314, 'L_cov': 25.05954933166504, 'L_slot': 0.024629468098282814, 'grad_norm': 2.290013313293457, 'grad_skipped': 0.0, 'ema_m': 0.9960012567288955, 'lr_mult': 0.8006666666666666}
step=1250 {'loss': 1.0274930000305176, 'L_flow': 1.0157403945922852, 'L_var': 0.023505177348852158, 'L_cov': 23.213632583618164, 'L_slot': 0.023933356627821922, 'grad_norm': 2.3115854263305664, 'grad_skipped': 0.0, 'ema_m': 0.9960013636256626, 'lr_mult': 0.834}
